11 11~MK072364~anhdtmk072364@fpt.edu.vn~1234123412~0~12341234
A A~IA242621~anhbmia242621@fpt.edu.vn~1234567890~0~12345678
A A~SE836564~anhlqse836564@fpt.edu.vn~1234123434~0~123412341234
DO MINH NHI~SE388104~nhidmse388104@fpt.edu.vn~0276256043~0~0
DO THANH NHI~HE271313~nhidthe271313@fpt.edu.vn~0173774065~0~0
HO MANH NHI~MK663704~nhihmmk663704@fpt.edu.vn~0465563754~0~0
HOANG MINH NHI~EN851081~nhihmen851081@fpt.edu.vn~0082582336~0~0
NGUYEN ANH NHI~EN804331~nhinaen804331@fpt.edu.vn~0460604436~0~0
PHAN HOANG NHI~SE178874~nhiphse178874@fpt.edu.vn~0252426738~0~0
PHAN TIEN NHI~MK641556~nhiptmk641556@fpt.edu.vn~0784323305~0~0
TRINH QUOC NHI~SE668358~nhitqse668358@fpt.edu.vn~0837442644~0~0
BUI TIEN PHONG~IA581158~phongbtia581158@fpt.edu.vn~0304455301~0~0
HO MANH PHONG~IA601458~phonghmia601458@fpt.edu.vn~0056626573~0~0
HO THI PHONG~IA603053~phonghtia603053@fpt.edu.vn~0333847874~0~0
LE MANH PHONG~HE384508~phonglmhe384508@fpt.edu.vn~0707664270~0~0
LE MANH PHONG~HE610348~phonglmhe610348@fpt.edu.vn~0567553150~0~0
LE QUOC PHONG~IA806044~phonglqia806044@fpt.edu.vn~0344638588~0~0
TRINH THU PHONG~EN430743~phongtten430743@fpt.edu.vn~0776252532~0~0
TRINH THU PHONG~IA114350~phongttia114350@fpt.edu.vn~0087406767~0~0
BUI THI PHUC~HE801484~phucbthe801484@fpt.edu.vn~0731546208~0~0
DINH THU PHUC~IA406802~phucdtia406802@fpt.edu.vn~0552846048~0~0
LE VAN PHUC~MK523872~phuclvmk523872@fpt.edu.vn~0418178452~0~0
NGUYEN THU PHUC~MK684371~phucntmk684371@fpt.edu.vn~0433648606~0~0
PHAN TIEN PHUC~EN320101~phucpten320101@fpt.edu.vn~0187013017~0~0
BUI MINH TAM~HE662432~tambmhe662432@fpt.edu.vn~0686886564~0~0
DINH VAN TAM~EN252624~tamdven252624@fpt.edu.vn~0680012225~0~0
NGUYEN THANH TAM~IA187231~tamntia187231@fpt.edu.vn~0773315268~0~0
PHAN THI TAM~EN270001~tampten270001@fpt.edu.vn~0285624822~0~0
TRINH QUOC TAM~SE853754~tamtqse853754@fpt.edu.vn~0322437766~0~0
TIEN THINH~AI184771~thinh@fpt.edu.vn~1234567890~0~12345678
BUI VAN THU~AI465461~thubvai465461@fpt.edu.vn~0685221172~0~0
DO TIEN THU~SE721172~thudtse721172@fpt.edu.vn~0681511261~0~0
DINH VAN THUY~AI033701~thuydvai033701@fpt.edu.vn~0888262554~0~0
DO THU THUY~IA851802~thuydtia851802@fpt.edu.vn~0711408418~0~0
PHAN MANH THUY~AI111426~thuypmai111426@fpt.edu.vn~0346026347~0~0
BUI VAN TIEN~HE204482~tienbvhe204482@fpt.edu.vn~0265183850~0~0
PHAM MINH TIEN~IA118226~tienpmia118226@fpt.edu.vn~0746435632~0~0
PHAN ANH TIEN~MK636518~tienpamk636518@fpt.edu.vn~0861283102~0~0
DINH THI TRA~MK513177~tradtmk513177@fpt.edu.vn~0401726373~0~0
LE HOANG TRA~AI704663~tralhai704663@fpt.edu.vn~0350068167~0~0
PHAM ANH TRA~EN461165~trapaen461165@fpt.edu.vn~0532701740~0~0
PHAM ANH TRA~SE235254~trapase235254@fpt.edu.vn~0541202182~0~0
PHAN VAN TRA~SE624528~trapvse624528@fpt.edu.vn~0753452522~0~0
HO QUOC TRANG~HE442045~tranghqhe442045@fpt.edu.vn~0258741770~0~0
TRINH THU TRANG~EN176506~trangtten176506@fpt.edu.vn~0312508606~0~0
HO ANH TRUNG~SE323244~trunghase323244@fpt.edu.vn~0208165415~0~0
HOANG MINH TRUNG~HE025861~trunghmhe025861@fpt.edu.vn~0716182806~0~0
NGUYEN QUOC TRUNG~MK846105~trungnqmk846105@fpt.edu.vn~0428783037~0~0
PHAM THANH TRUNG~EN264707~trungpten264707@fpt.edu.vn~0843538642~0~0
PHAN MANH TRUNG~HE070215~trungpmhe070215@fpt.edu.vn~0510501878~0~0
TRINH ANH TRUNG~AI638575~trungtaai638575@fpt.edu.vn~0448156732~0~0
DO HOANG VU~IA561158~vudhia561158@fpt.edu.vn~0337383130~0~0
HO MANH VU~AI126516~vuhmai126516@fpt.edu.vn~0365481325~0~0
HO MANH VU~MK357231~vuhmmk357231@fpt.edu.vn~0186334020~0~0
HO TIEN VU~EN526267~vuhten526267@fpt.edu.vn~0446523550~0~0
